Source,Source Name,Target,Target Name,Weight,Type
10000010,George Abbot,10005056,William Gouge,53,Undirected
10000010,George Abbot,10005242,Edmund Griffith,25,Undirected
10000010,George Abbot,10005397,Joseph Hall,61,Undirected
10000010,George Abbot,10005605,Samuel Harsnett,21,Undirected
10000010,George Abbot,10005897,Peter Heylyn,96,Undirected
10000010,George Abbot,10005949,Edmund Hill,48,Undirected
10000010,George Abbot,10005967,Thomas Hill,54,Undirected
10000010,George Abbot,10005968,Thomas Hill,39,Undirected
10000010,George Abbot,10006068,Hugh Holland,11,Undirected
10000010,George Abbot,10006081,John Holles,13,Undirected
10000010,George Abbot,10006124,George Home,49,Undirected
10000010,George Abbot,10006126,James Home,26,Undirected
10000010,George Abbot,10006192,Thomas Horne,55,Undirected
10000010,George Abbot,10006249,Frances Howard,27,Undirected
10000010,George Abbot,10006254,Henry Howard,57,Undirected
10000010,George Abbot,10006263,Katherine Howard,24,Undirected
10000010,George Abbot,10006273,Robert Howard,11,Undirected
10000010,George Abbot,10006275,Theophilus Howard,53,Undirected
10000010,George Abbot,10006279,Thomas Howard,38,Undirected
10000010,George Abbot,10006280,Thomas Howard,43,Undirected
10000010,George Abbot,10006310,John Howson,69,Undirected
10000010,George Abbot,10006527,Thomas Jacombe,14,Undirected
10000010,George Abbot,10006538,Richard James,17,Undirected
10000010,George Abbot,10006539,Thomas James,74,Undirected
10000010,George Abbot,10006540,Thomas James,22,Undirected
10000010,George Abbot,10006686,Inigo Jones,16,Undirected
10000010,George Abbot,10006720,Benjamin Jonson,45,Undirected
10000010,George Abbot,10006800,Matthew Kellison,22,Undirected
10000010,George Abbot,10006867,Robert Ker,20,Undirected
10000010,George Abbot,10006868,Robert Ker,15,Undirected
10000010,George Abbot,10006913,Anne King,35,Undirected
10000010,George Abbot,10006923,John King,38,Undirected
10000010,George Abbot,10006924,John King,38,Undirected
10000010,George Abbot,10006925,John King,35,Undirected
10000010,George Abbot,10007006,John Knewstub,47,Undirected
10000010,George Abbot,10007034,Edward Knott,21,Undirected
10000010,George Abbot,10007062,Hamon L'Estrange,21,Undirected
10000010,George Abbot,10007063,Hamon L'Estrange,27,Undirected
10000010,George Abbot,10007067,Mathias de L'Obel,28,Undirected
