George Abbot,Samuel Purchas,53
George Abbot,John Rainolds,43
George Abbot,John Randall,17
George Abbot,Thomas Ravis,49
George Abbot,John Rawlinson,31
George Abbot,Thomas Ridley,61
George Abbot,John Roberts,59
George Abbot,John Robinson,11
George Abbot,Richard Rogers,54
George Abbot,Lucy Russell,36
George Abbot,Thomas Sackville,80
George Abbot,John Sandford,54
George Abbot,Arthur Saul,52
George Abbot,George Savile,65
George Abbot,Henry Savile,61
George Abbot,Henry Savile,24
George Abbot,Henry Savile,18
George Abbot,Joseph Justus Scaliger,22
George Abbot,Robert Sibthorpe,25
George Abbot,Richard Skeffington,39
George Abbot,Peter Smart,52
George Abbot,Miles Smith,51
George Abbot,Edward Somerset,11
George Abbot,Robert Southwell,39
George Abbot,Robert Southwell,66
George Abbot,Henry Spelman,35
George Abbot,John Spottiswoode,33
George Abbot,George Sprot,51
George Abbot,Warham St Leger,21
George Abbot,Richard Stock,60
George Abbot,John Story,35
George Abbot,John Story,16
George Abbot,Arabella Stuart,22
George Abbot,Charles Stuart,83
George Abbot,Frances Stuart,27
George Abbot,James Stuart,100
George Abbot,Matthew Sutcliffe,28
George Abbot,Thomas Sutton,16
George Abbot,William Temple,14
George Abbot,Thomas Tesdale,50
George Abbot,Raphael Thorius,43
George Abbot,John Thornborough,59
George Abbot,William Trumbull,62
George Abbot,Elizabeth Tudor,43
George Abbot,William Twisse,51
George Abbot,James Ussher,56
George Abbot,Thomas Vane,44
George Abbot,Horace Vere,35
George Abbot,George Villiers,67
George Abbot,George Villiers,23
George Abbot,Richard Vines,44
George Abbot,Samuel Ward,18
George Abbot,Samuel Ward,14
George Abbot,John Warner,51
George Abbot,Agnes Wenman,57
George Abbot,James Whitelocke,16
George Abbot,Rowland Whyte,51
George Abbot,Edward Wightman,30
George Abbot,Andrew Willet,18
George Abbot,Griffith Williams,76
George Abbot,John Williams,11
George Abbot,Ralph Winwood,35
George Abbot,Anthony Wood,33
George Abbot,Matthew Wren,21
George Abbot,Matthew Wren,15
