SDFB_ID,Prefix,First Name,Last Name,Suffix,Title,All Search Names,Gender,Historical Significance,Birth Year Type,Extant Birth Year,Alternate Birth Year,Death Year Type,Extant Death Year,Alternate Death Year
10000122,,Joseph,Alleine,,,Joseph Alleine,"male
",ejected minister and devotional writer,IN,1634,1634,IN,1668,1668
10000140,,Thomas,Allen,,,Thomas Allen,"male
",Church of England clergyman and writer,IN,1681,1681,IN,1755,1755
10000143,,John,Allenson,,,John Allenson,"male
",Church of England clergyman and literary editor,AF,1509,NA,IN,1619,1619
10000133,Sir,John,Allen,,,John Allen,"male
",mayor of London,IN,1470,1470,IN,1544,1544
10000137,,Robert,Allen,,,Robert Allen,"male
",Church of England clergyman and religious writer,IN,1582,1582,IN,1612,1612
10000153,,Thomas,Allison,,,Thomas Allison,"male
",Arctic explorer,IN,1647,1647,BF/IN,1706,1706
10000150,,Peter,Allibond,,,Peter Allibond,"male
",Church of England clergyman and translator,IN,1559,1560,IN,1629,1629
10000151,Sir,Richard,Allibone,,,Sir Richard Allibone,"male
",judge,IN,1636,1636,IN,1688,1688
10000149,,John,Allibond,,,John Allibond,"male
",Church of England clergyman and satirist,IN,1596,1597,IN,1658,1658
10004010,,Laurence,Esmonde,,,Laurence Esmonde,"male
",army officer and landowner,IN,1570,1570,IN,1645,1645
10000160,,Thomas,Alsop,,,Thomas Alsop,"male
",apothecary,AF,1448,NA,IN,1558,1558
10000156,,William,Allott,,,William Allott,"male
",Roman Catholic priest,AF,1477,NA,IN,1587,1587
10000164,,Jonas,Alstromer,,,Jonas Alstromer,"male
",businessman,IN,1685,1685,IN,1761,1761
10000182,Sir,John,Amy,,,John Amy,"male
",civil lawyer,AF,1511,NA,IN,1621,1621
10000185,,Alexander,Anderson,,,Alexander Anderson,"male
",mathematician,IN,1581,1582,AF,1621,1621
10000171,,Isaac,Ambrose,,,Isaac Ambrose,"male
","Church of England clergyman and ejected minister, and author",IN,1604,1604,IN,1664,1664
10000180,,John,Amner,,,John Amner,"male
",composer and organist,AF,1531,NA,IN,1641,1641
10000184,,Adam,Anderson,,,Adam Anderson,"male
",historian of commerce,IN,1692,1692,IN,1765,1765
10000168,,Thomas,Alured,,,Thomas Alured,"male
",administrator,IN,1583,1583,IN,1638,1638
10000174,,Richard,Ames,,,Richard Ames,"male
",satirist,CA,1664,1664,IN,1692,1692
10000172,,Joseph,Ames,,,Joseph Ames,"male
",naval officer,IN,1619,1619,IN,1695,1695
10000177,,Nicholas,Amhurst,,,Nicholas Amhurst,"male
",satirist and political writer,IN,1697,1697,IN,1742,1742
10000192,,Janet,Anderson,,,Janet Anderson,"female
",milliner and maker of graveclothes,IN,1697,1697,IN,1761,1761
10000186,,Andrew,Anderson,,,Andrew Anderson,"male
",burgh and university printer,IN,1635,1635,IN,1676,1676
10000189,,George,Anderson,,,George Anderson,"male
",Church of Scotland minister and author,IN,1676,1677,IN,1756,1756
10007983,,Daniel,Marot,,,Daniel Marot,"male
","architect, designer, and engraver",IN,1661,1661,IN,1752,1752
10000194,,Lionel,Anderson,,,Lionel Anderson,"male
",Dominican friar,IN,1633,1633,IN,1710,1710
10000202,,John,Andree,,,John Andree,"male
",physician,IN,1697,1698,IN,1785,1785
10000199,,Laurence,Anderton,,,Laurence Anderton,"male
",Jesuit,IN,1575,1575,IN,1643,1643
10000206,,Eusebius,Andrewes,,,Eusebius Andrewes,"male
",royalist army officer,IN,1606,1606,IN,1650,1650
10000203,,Laurence,Andrewe,,,Laurence Andrewe,"male
",printer and translator,IN,1520,1520,IN,1530,1530
10000204,,Thomas,Andrewe,,,Thomas Andrewe,"male
",soldier and poet,IN,1600,1600,IN,1604,1604
10000205,,Bartimaeus,Andrewes,,,Bartimaeus Andrewes,"male
",Church of England clergyman,IN,1550,1551,IN,1616,1616
10000219,,Jane,Anger,,,Jane Anger,"female
",writer on women,BF,1588,1588,AF,1588,1588
10000207,,John,Andrewes,,,John Andrewes,"male
",poet,IN,1582,1583,BF,1692,NA
10000212,,William,Andrews,,,William Andrews,"male
",astrologer and teacher of mathematics,IN,1634,1635,IN,1712,1713
10000214,,Dunstan,Anes,,,Dunstan Anes,"male
",merchant,IN,1520,1520,IN,1594,1594
10000217,,Pieter,Angellis,,,Pieter Angellis,"male
",painter,IN,1685,1685,IN,1734,1734
10000218,,Christopher,Angelus,,,Christopher Angelus,"male
",writer,AF,1528,NA,IN,1638,1638
10000227,,Peter,Annet,,,Peter Annet,"male
",religious controversialist,IN,1693,1693,IN,1769,1769
10000221,,William,Annand,,,William Annand,"male
",dean of Edinburgh,IN,1633,1633,IN,1689,1689
10000225,,Richard,Annesley,,,Richard Annesley,"male
",kidnapper and bigamist,IN,1693,1693,IN,1761,1761
10000715,,John Shute,Barrington,,,John Shute Barrington,"male
",politician and Christian apologist,IN,1678,1678,IN,1734,1734
10000234,,Anthony,Anthony,,,Anthony Anthony,"male
",military administrator,AF,1453,NA,IN,1563,1563
10000236,,John,Anthony,,,John Anthony,"male
",physician,IN,1585,1585,IN,1655,1655
10000237,,Robert,Anton,,,Robert Anton,"male
",satirist,IN,1606,1606,IN,1618,1618
10000242,,Robert,ap Huw,,,Robert ap Huw,"male
",harpist and compiler of manuscripts,IN,1580,1580,IN,1665,1665
10000246,,Philip,ap Rhys,,,Philip ap Rhys,"male
",organist and composer,IN,1547,1547,IN,1559,1559
10000267,,Thomas,Archer,,,Thomas Archer,"male
",architect and courtier,IN,1668,1669,IN,1743,1743
10000249,,Henry,Appleton,,,Henry Appleton,"male
",naval officer,AF,1547,NA,IN,1657,1657
10000240,,Enoch,ap Evan,,,Enoch ap Evan,"male
",murderer,IN,1599,1599,IN,1633,1633
10000241,,Rhys,ap Gruffudd,,,Rhys ap Gruffudd,"male
",,IN,1508,1508,IN,1531,1531
10000248,,John,Applebee,,,John Applebee,"male
",printer and bookseller,IN,1690,1690,IN,1750,1750
10000251,,Simon,Appulby,,,Simon Appulby,"male
",religious recluse and author,AF,1427,NA,IN,1537,1537
10000244,,Llywelyn,ap Rhisiart,,,Llywelyn ap Rhisiart,"male
",poet,IN,1520,1520,IN,1565,1565
10000245,Sir,Gruffudd,ap Rhys,,,Gruffudd ap Rhys,"male
",,IN,1479,1479,IN,1521,1521
10000253,,Peter,Aram,,,Peter Aram,"male
",gardener and writer,IN,1667,1667,IN,1735,1735
10000247,Sir,Rhys,ap Thomas,,,Rhys ap Thomas,"male
",soldier and landowner,IN,1448,1449,IN,1525,1525
10000264,,John,Archer,,,John Archer,"male
",medical practitioner,IN,1660,1660,IN,1688,1688
10000266,,Thomas,Archer,,,Thomas Archer,"male
",Church of England clergyman,IN,1554,1554,IN,1630,1631
10000269,,Mary,Arden,,,Mary Arden,"female
",William Shakespeare's mother,BF,1554,NA,IN,1608,NA
10000281,,Timothy,Armitage,,,Timothy Armitage,"male
",Independent minister,AF,1545,NA,IN,1655,1655
10000276,,John,Argentine,,,John Argentine,"male
",physician and college head,IN,1443,1443,IN,1508,1508
10000282,Sir,Nicholas,Armorer,,,Nicholas Armorer,"male
","royalist army officer, conspirator, and courtier",IN,1620,1620,IN,1686,1686
10000287,,William,Armstrong,,,William Armstrong,"male
",border reiver,BF,1636,1636,AF,1636,1636
10000284,,John,Armstrong,of Gilnockie,,of Gilnockie Armstrong,"male
",gang leader,AF,1420,NA,IN,1530,1530
10000288,,William,Arnall,,,William Arnall,"male
",political writer,AF,1626,NA,IN,1736,1736
10000294,,Richard,Arnold,,,Richard Arnold,"male
",merchant and chronicler,AF,1411,NA,CA,1521,1521
10000291,,Elizabeth,Arnold,,,Elizabeth Arnold,"female
",translator,BF,1616,1616,AF,1616,1616
10000295,,Thomas,Arnold,,,Thomas Arnold,"male
",naval officer,IN,1679,1679,IN,1737,1737
10000296,,Francois-Marie,Arouet,,,Francois-Marie Arouet,"male
",writer and philosopher,IN,1694,1694,IN,1778,1778
10000297,,Edmund,Arrowsmith,,,Edmund Arrowsmith,"male
",Jesuit,IN,1585,1585,IN,1628,1628
10000301,Sir,Daniel,Arthur,,,Daniel Arthur,"male
",banker,CA,1620,1629,IN,1705,1705
10000302,,James,Arthur,,,James Arthur,"male
",Dominican friar and theologian,IN,1587,1587,IN,1654,1654
10000286,,William,Armstrong,of Kinmont,,William Armstrong of Kinmont,"male
",border reiver,IN,1569,1569,IN,1603,1603
10000304,,Thomas,Arthur,,,Thomas Arthur,"male
",physician,IN,1593,1593,IN,1675,1675
10000307,,Dorothy,Arundell,,,Dorothy Arundell,"female
",author and Benedictine nun,IN,1559,1560,IN,1613,1613
10013090,,Thomas,Wood,,,Thomas Wood,"male
",bishop of Lichfield and Coventry,IN,1607,1607,IN,1692,1692
10000312,Sir,John,Arundell,of Lanherne,,John Arundell of Lanherne,"male
",,IN,1474,1474,IN,1545,1545
10000319,,Anthony,Ascham,,,Anthony Ascham,"male
",diplomat and pamphleteer,IN,1614,1614,IN,1650,1650
10000321,,John,Asgill,,,John Asgill,"male
",author,IN,1659,1659,IN,1738,1738
10000322,,John,Ashburne,,,John Ashburne,"male
",Church of England clergyman and madhouse keeper,IN,1607,1607,IN,1661,1661
10000327,,Edward,Ashe,,,Edward Ashe,"male
",cloth merchant and parliamentarian activist,IN,1599,1599,IN,1656,1656
10000338,,Charles,Ashton,,,Charles Ashton,"male
",college head,IN,1665,1665,IN,1752,1752
10000328,,John,Ashe,,,John Ashe,"male
",clothier and parliamentarian activist,IN,1597,1597,IN,1659,1659
10000332,,Edmund,Ashfield,,,Edmund Ashfield,"male
",pastellist,IN,1669,1669,IN,1680,1680
10000335,,Robert,Ashley,,,Robert Ashley,"male
",translator and book collector,IN,1565,1565,IN,1641,1641
10000337,,John,Ashmore,,,John Ashmore,"male
",translator and poet,BF,1621,1621,AF,1621,1621
10000348,,John,Ashwell,,,John Ashwell,"male
",prior of Newnham,AF,1431,NA,CA,1541,1541
10000339,,Edward,Ashton,,,Edward Ashton,"male
",conspirator,AF,1548,NA,IN,1658,1658
10000340,,Hugh,Ashton,,,Hugh Ashton,"male
",Catholic ecclesiastic and university benefactor,AF,1412,NA,IN,1522,1522
10000342,,Peter,Ashton,,,Peter Ashton,"male
",translator,AF,1438,NA,IN,1548,1548
10000346,,James,Ashurst,,,James Ashurst,"male
",Church of England clergyman,AF,1569,NA,IN,1679,1679
10000357,,Anthony,Askham,,,Anthony Askham,"male
",writer on astronomy and almanac maker,IN,1517,1517,IN,1559,1559
10000356,,Egeon,Askew,,,Egeon Askew,"male
",Church of England clergyman,IN,1575,1576,IN,1637,1637
10000362,,William,Asplin,,,William Asplin,"male
",Church of England clergyman and writer,IN,1688,1689,IN,1758,1758
10000358,,Edward,Aspinwall,,,Edward Aspinwall,"male
",religious controversialist,IN,1678,1678,IN,1732,1732
10000371,Sir,Arthur,Aston,,,Arthur Aston,"male
",royalist army officer,IN,1590,1593,IN,1649,1649
10000366,,John,Aster,,,John Aster,"male
",Church of England clergyman and religious reformer,IN,1509,1510,IN,1574,1574
10000378,,Diana,Astry,,,Diana Astry,"female
",diarist and compiler of recipe books,IN,1671,1671,IN,1716,1716
10000374,,Magdalene,Aston,,,Magdalene Aston,"female
",,AF,1525,NA,IN,1635,1635
10000383,,John,Atkins,,,John Atkins,"male
",naval surgeon,IN,1685,1685,IN,1757,1757
10000372,,Herbert,Aston,,,Herbert Aston,"male
",poet,IN,1614,1614,IN,1688,1689
